Tijd,Substraat,Biomassa
0,0.0188758367,0.000047189591863
0.1,0.0181969243,0.000046000965395
0.2,0.0207424501,0.000052964406501
0.3,0.0207346242,0.000053698606540
0.4,0.0217471013,0.000057122711097
0.5,0.0195225468,0.000052097506483
0.6,0.0200688867,0.000054211598741
0.7,0.0213118293,0.000058326340822
0.8,0.0181143632,0.000050330778644
0.9,0.0182054178,0.000051088156200
1,0.020125777,0.000057048064431
1.1,0.0206884545,0.000059419545801
1.2,0.0180261233,0.000052507283762
1.3,0.0195461229,0.000057494063487
1.4,0.0182813707,0.000054434425851
1.5,0.0197000889,0.000059258571167
1.6,0.0207798961,0.000063289799278
1.7,0.0203779595,0.000062954470357
1.8,0.0217388396,0.000068076045860
1.9,0.0213804283,0.000068021629775
2,0.0200875206,0.000064890013053
2.1,0.0183465729,0.000060049014893
2.2,0.020606714,0.000068145225644
2.3,0.0196471962,0.000065886310408
2.4,0.020788315,0.000070583260195
2.5,0.0216130359,0.000074438890221
2.6,0.0210016675,0.000073474876330
2.7,0.0189952306,0.000067436587085
2.8,0.018144787,0.000065154423197
2.9,0.0209095391,0.000075837154399
3,0.0192695712,0.000070910009135
3.1,0.0204894697,0.000076295536671
3.2,0.0209756784,0.000079192530494
3.3,0.0218982647,0.000083893895640
3.4,0.0193817092,0.000075463909042
3.5,0.0189138739,0.000074533670898
3.6,0.0218535389,0.000087093975625
3.7,0.0207951317,0.000084222485538
3.8,0.0209059673,0.000085896816857
3.9,0.0204883347,0.000085415811917
4,0.0181790937,0.000076847910103
4.1,0.0204172619,0.000087186828770
4.2,0.0214164553,0.000092720819654
4.3,0.0189658139,0.000083387991317
4.4,0.0196237453,0.000087269837614
4.5,0.0209367567,0.000094277370251
4.6,0.0197762431,0.000090365298609
4.7,0.018822105,0.000087107533524
4.8,0.0189780522,0.000088816244033
4.9,0.0193203396,0.000091457093582
5,0.0185573787,0.000088904239669
5.1,0.0198413585,0.000096081918282
5.2,0.0214754534,0.000105337812468
5.3,0.0215015252,0.000107118291467
5.4,0.0181111145,0.000091647048845
5.5,0.0214802833,0.000109793073039
5.6,0.0198713974,0.000103164411548
5.7,0.0199158863,0.000104739656886
5.8,0.0191300847,0.000101922936751
5.9,0.0217860413,0.000117440531867
6,0.0198078976,0.000108512368553
6.1,0.0189025367,0.000104890406482
6.2,0.0182136729,0.000102221970383
6.3,0.0216296573,0.000122642518796
6.4,0.0181407024,0.000104505089789
6.5,0.0198492227,0.000115511097659
6.6,0.0193841667,0.000114270121119
6.7,0.0189614419,0.000113143981800
6.8,0.0214959093,0.000129744926251
6.9,0.0199513701,0.000122322698571
7,0.0196886755,0.000122303206515
7.1,0.0215774347,0.000135744368023
7.2,0.0180257502,0.000115209259994
7.3,0.0208609001,0.000134665587450
7.4,0.0208813912,0.000136784149432
7.5,0.0210952476,0.000140227892247
7.6,0.0182993098,0.000123486627094
7.7,0.017877731,0.000121907395031
7.8,0.0205582301,0.000141559066960
7.9,0.0212594032,0.000148472657784
8,0.0202958936,0.000143933977687
8.1,0.02070973,0.000148899929849
8.2,0.0206541906,0.000150659996563
8.3,0.0217244984,0.000160758616362
8.4,0.021261854,0.000159901116973
8.5,0.0186587228,0.000142503988562
8.6,0.0189552901,0.000146383239497
8.7,0.0191369014,0.000149506139560
8.8,0.019780588,0.000156380630849
8.9,0.0200845255,0.000160851646498
9,0.0210831984,0.000171136752261
9.1,0.0193555442,0.000159510227708
9.2,0.0210487801,0.000175604501989
9.3,0.0187781931,0.000159045882807
9.4,0.019360101,0.000165842035081
9.5,0.019841049,0.000172062991792
9.6,0.0195634984,0.000171891513624
9.7,0.0188504779,0.000167732471630
9.8,0.0184272061,0.000165855467695
9.9,0.0183397645,0.000166854236160
10,0.0199979946,0.000183882249210
10.1,0.0209012259,0.000194771660076
10.2,0.0178542901,0.000168873530612
10.3,0.0198451186,0.000189559609282
10.4,0.0196984192,0.000190642691114
10.5,0.0214951466,0.000210728216717
10.6,0.0206558593,0.000205749961947
10.7,0.0198796736,0.000200914091084
10.8,0.0211956754,0.000217065766509
10.9,0.0201302572,0.000209366550108
11,0.0209743265,0.000221148434903
11.1,0.0182793199,0.000195668182368
11.2,0.0184972541,0.000200113635272
11.3,0.0204761206,0.000223965617613
11.4,0.0181703274,0.000201603761148
11.5,0.0180262347,0.000202104448931
11.6,0.0187595863,0.000212483496718
11.7,0.0176972641,0.000202750805852
11.8,0.0193297773,0.000223604181999
11.9,0.017805144,0.000208527147455
12,0.0205070208,0.000242545152721
12.1,0.0213901912,0.000256642327839
12.2,0.0186229732,0.000227011014847
12.3,0.0183969006,0.000226783089379
12.4,0.0189421188,0.000236048204952
12.5,0.0211840075,0.000267102754411
12.6,0.0202383818,0.000259172509399
12.7,0.018257022,0.000237080927046
12.8,0.0203516676,0.000267107667378
12.9,0.0191784551,0.000255295033446
13,0.0191855763,0.000258519630861
13.1,0.0196246989,0.000267682021332
13.2,0.0182372729,0.000251997597435
