0	4	7,735	0,404782609	15,92274194
0,003472222	4	7,5	0,687826087	16,27612903
0,006944444	4	6,235	1,042391304	17,13645161
0,010416667	4	5,21	1,31326087	18,08258065
0,013888889	4	3,825	1,41673913	18,445
0,017361111	4	2,68	1,711956522	19,99064516
0,024305556	2,5	9,21	1,931086957	26,42725806
0,027777778	2,5	8,795	2,098478261	27,64096774
0,03125	2,5	7,68	2,376956522	29,00822581
0,034722222	2,5	6,59	2,784782609	28,22354839
0,038194444	2,5	5,885	2,943043478	29,04096774
0,041666667	2,5	4,65	3,037391304	32,10854839
0,052083333	1	9,855	2,938478261	35,54193548
0,059027778	1	8,825	2,88673913	37,40596774
0,065972222	1	7,62	2,860869565	39,06112903
0,072916667	1	6,235	2,857826087	40,90935484
0,079861111	1	4,855	2,909565217	42,19193548
0,086805556	1	3,705	2,655434783	42,64919355
0,131944444	0,7	8,59	0,448913043	53,23612903
0,138888889	0,7	7,795	0,686304348	56,69548387
0,145833333	0,7	6,68	1,098695652	57,33564516
0,152777778	0,7	5,68	1,139782609	56,77790323
0,159722222	0,7	4,885	1,246304348	55,76854839
0,166666667	0,7	3,5	1,448695652	58,67580645
0,170138889	0,5	9,915	1,308695652	61,4983871
0,177083333	0,5	9,295	1,314782609	64,96903226
0,184027778	0,5	8,415	1,13673913	63,99693548
0,190972222	0,5	7,825	1,33	63,20322581
0,197916667	0,5	7,18	1,159565217	65,38677419
0,204861111	0,5	6,53	1,334565217	65,77403226
0,213888889	0,2	12,885	0,916086957	70,31387097
0,220833333	0,2	13,385	0,905434783	68,04903226
0,227777778	0,2	13,65	0,888695652	69,83854839
0,234722222	0,2	13,385	0,789782609	68,96016129
0,241666667	0,2	15,12	0,608695652	72,91741935
0,25	0,2	13,15	0,413913043	68,48709677
